Time(ms),C1_Sign, C1_CPM, C1_uSv, C2_Sign, C2_CPM, C2_uSv, MuonCount, MuonCPM
7545524,0,0,0.0,0,0,0.0,3,12
7560525,0,0,0.0,0,0,0.0,3,12
7575526,28,112,2.11,0,0,0.0,3,12
7590528,0,0,0.0,0,0,0.0,0,0
7605529,0,0,0.0,0,0,0.0,2,8
7620530,0,0,0.0,0,0,0.0,0,0
7635531,0,0,0.0,0,0,0.0,0,0
7650532,0,0,0.0,0,0,0.0,0,0
7665533,24,96,1.81,0,0,0.0,2,8
7680534,0,0,0.0,0,0,0.0,1,4
7695535,0,0,0.0,0,0,0.0,0,0
7710536,0,0,0.0,0,0,0.0,0,0
7725537,17,68,1.28,0,0,0.0,0,0
7740538,0,0,0.0,13,52,0.98,0,0
7755539,15,60,1.13,0,0,0.0,1,4
7770540,0,0,0.0,0,0,0.0,1,4
7785541,0,0,0.0,0,0,0.0,0,0
7800542,0,0,0.0,18,72,1.36,3,12
7815543,0,0,0.0,0,0,0.0,0,0
7830544,0,0,0.0,11,44,0.83,0,0
7845545,16,64,1.21,0,0,0.0,1,4
7860546,11,44,0.83,0,0,0.0,0,0
7875547,13,52,0.98,0,0,0.0,3,12
7890548,10,40,0.75,13,52,0.98,2,8
7905549,0,0,0.0,0,0,0.0,1,4
7920550,7,28,0.53,0,0,0.0,2,8
7935551,0,0,0.0,0,0,0.0,0,0
7950552,0,0,0.0,0,0,0.0,0,0
7965553,0,0,0.0,0,0,0.0,0,0
7980554,9,36,0.68,14,56,1.06,2,8
7995555,9,36,0.68,13,52,0.98,0,0
8010556,0,0,0.0,0,0,0.0,1,4
8025558,9,36,0.68,11,44,0.83,2,8
8040559,10,40,0.75,0,0,0.0,0,0
8055560,11,44,0.83,6,24,0.45,1,4
8070561,9,36,0.68,12,48,0.91,2,8
8085562,10,40,0.75,8,32,0.60,3,12
8100563,6,24,0.45,12,48,0.91,3,12
8115564,7,28,0.53,7,28,0.53,2,8
8130565,7,28,0.53,5,20,0.38,1,4
8145566,10,40,0.75,10,40,0.75,3,12
8160567,10,40,0.75,8,32,0.60,0,0
8175568,0,0,0.0,3,12,0.23,0,0
8190569,3,12,0.23,3,12,0.23,1,4
8205570,0,0,0.0,6,24,0.45,2,8
8220571,4,16,0.30,7,28,0.53,2,8
8235572,5,20,0.38,5,20,0.38,2,8
8250573,4,16,0.30,9,36,0.68,0,0
8265574,4,16,0.30,2,8,0.15,0,0
8280576,2,8,0.15,0,0,0.0,0,0
8295577,4,16,0.30,3,12,0.23,1,4
8310578,5,20,0.38,0,0,0.0,0,0
8325579,2,8,0.15,5,20,0.38,0,0
8340580,0,0,0.0,2,8,0.15,0,0
8355581,4,16,0.30,2,8,0.15,0,0
8370582,6,24,0.45,3,12,0.23,0,0
8385583,0,0,0.0,5,20,0.38,1,4
8400584,2,8,0.15,0,0,0.0,0,0
8415585,4,16,0.30,6,24,0.45,0,0
8430586,3,12,0.23,3,12,0.23,2,8
8445587,0,0,0.0,5,20,0.38,2,8
8460588,3,12,0.23,3,12,0.23,0,0
8475589,3,12,0.23,1,4,0.08,0,0
8490590,2,8,0.15,5,20,0.38,0,0
8505591,2,8,0.15,4,16,0.30,0,0
